# IPA pronunciations, derived from CMUdict.
#
# SOURCE: github.com/cmusphinx/cmudict — public domain (BSD-style, no
# restriction on use). General American.
#
# Converted from ARPABET by services/arpabet.py. The conversion is
# mechanical except for syllable stress: IPA marks the start of the
# stressed syllable while ARPABET marks the stressed vowel, so the
# boundary is worked out with the maximal onset principle. Marking the
# vowel instead would give /sɛˈʃən/ for 'session'.
#
# Only the first pronunciation of each word is kept. CMUdict lists
# alternatives as 'record(2)'; a learner needs one, not a survey.
#
# This closes the gap WordNet leaves: it has definitions but no
# phonetics, and the online dictionary was the only source of IPA.
word,ipa
abash,əˈbæʃ
abashed,əˈbæʃt
abasia,əˈbeɪʒjə
abate,əˈbeɪt
abated,əˈbeɪtɪd
abatement,əˈbeɪtmənt
abatements,əˈbeɪtmənts
abates,əˈbeɪts
abating,əˈbeɪtɪŋ
abattoir,ˌæbəˈtwɑɹ
abba,ˈæbə
abbado,əˈbɑdoʊ
abbas,əˈbɑs
abbasi,ɑˈbɑsi
abbate,ˈɑbeɪt
abbatiello,ɑbɑtiˈɛloʊ
abbe,ˈæbi
abbenhaus,ˈæbənˌhaʊs
abbett,əˈbɛt
abbeville,ˈæbvɪl
abbey,ˈæbi
abbey's,ˈæbiz
abbie,ˈæbi
abbitt,ˈæbɪt
abbot,ˈæbət
abbotstown,ˈæbətˈstaʊn
abbott,ˈæbət
abbott's,ˈæbəts
abbottstown,ˈæbətˈstaʊn
abboud,əˈbud
abbreviate,əbˈɹiviˌeɪt
abbreviated,əbˈɹiviˌeɪtɪd
abbreviates,əbˈɹiviˌeɪts
abbreviating,əbˈɹiviˌeɪtɪŋ
abbreviation,əbˌɹiviˈeɪʃən
abbreviations,əbˌɹiviˈeɪʃənz
abbruzzese,ɑbɹutˈseɪzi
abbs,æbz
abby,ˈæbi
abc,ˈeɪˌbiˌsi
abc's,ˈeɪˌbiˌsiz
abco,ˈæbkoʊ
abcotek,ˈæbkoʊˌtɛk
abcs,ˈeɪˌbiˌsiz
abd,ˌeɪˌbiˈdi
abdalla,ˌæbˈdælə
abdallah,ˌæbˈdælə
abdel,ˈæbˌdɛl
abdella,ˌæbˈdɛlə
abdicate,ˈæbdəˌkeɪt
abdicated,ˈæbdəˌkeɪtɪd
abdicates,ˈæbdəˌkeɪts
abdicating,ˈæbdɪˌkeɪtɪŋ
abdication,ˌæbdɪˈkeɪʃən
abdnor,ˈæbdnɚ
abdo,ˈæbdoʊ
abdollah,ˌæbˈdɑlə
abdomen,æbˈdoʊmən
abdominal,æbˈdɑmənəl
abduct,æbˈdʌkt
abducted,æbˈdʌktɪd
abductee,æbˌdʌkˈti
abductees,æbˌdʌkˈtiz
abducting,æbˈdʌktɪŋ
abduction,æbˈdʌkʃən
abductions,æbˈdʌkʃənz
abductor,æbˈdʌktɚ
abductors,æbˈdʌktɚz
abducts,æbˈdʌkts
abdul,æbˈdul
abdulaziz,æbˌduləˈziz
abdulla,ɑbˈdulə
abdullah,ˌæbˈdʌlə
abe,eɪb
abed,əˈbɛd
abedi,əˈbɛdi
abee,əˈbi
abel,ˈeɪbəl
abela,ɑˈbɛlə
abelard,ˈæbɪlɚd
abele,əˈbɛl
abeles,əˈbɛlz
abell,ˈeɪbəl
abella,əˈbɛlə
abeln,ˈæbɪln
abelow,ˈæbəloʊ
abels,ˈeɪbəlz
abelson,ˈæbɪlsən
abend,ˈæbɛnd
abendroth,ˈæbɪndɹɔθ
aber,ˈeɪbɚ
abercrombie,ˌæbɚkˈɹɑmbi
aberdeen,ˈæbɚˌdin
aberford,ˈeɪbɚfɚd
aberg,ˈæbɚɡ
aberle,ˈæbɚəl
abermin,ˈæbɚmɪn
abernathy,ˈæbɚˌnæθi
abernethy,ˈæbɚˌnɛθi
aberrant,æˈbɛɹənt
aberration,ˌæbɚˈeɪʃən
aberrational,ˌæbɚˈeɪʃənəl
aberrations,ˌæbɚˈeɪʃənz
abert,ˈæbɚt
abet,əˈbɛt
abetted,əˈbɛtɪd
abetting,əˈbɛtɪŋ
abex,ˈeɪbɛks
abeyance,əˈbeɪəns
abeyta,ɑˈbeɪtə
abhor,æbˈhɔɹ
abhorred,əbˈhɔɹd
abhorrence,əbˈhɔɹəns
abhorrent,æbˈhɔɹənt
abhors,əbˈhɔɹz
abiam,ˈeɪbiəm
abiam's,ˈeɪbiəmz
abid,ˈeɪbɪd
abide,əˈbaɪd
abided,əˈbaɪdɪd
abides,əˈbaɪdz
abiding,əˈbaɪdɪŋ
abidjan,æbɪˈdʒɑn
abie,ˈæbi
abigail,ˈæbəˌɡeɪl
abila,ɑˈbilə
abilene,ˈæbɪˌlin
abilities,əˈbɪləˌtiz
ability,əˈbɪləˌti
abimael,ˌæbɪˈmeɪl
abimaels,ˌæbɪˈmeɪlz
abingdon,ˈæbɪŋdən
abington,ˈæbɪŋtən
abio,ˈɑbioʊ
abiola,ˌɑbiˈoʊlə
abiola's,ˌɑbiˈoʊləz
abiomed,eɪˈbiəmɛd
abiquiu,əˈbɪkju
abitibi,ˌæbɪˈtibi
abitz,ˈæbɪts
abject,ˈæbdʒɛkt
abkhazia,æbˈkɑzjə
abkhazian,æbˈkɑziən
abkhazians,æbˈkɑziənz
ablate,ˌʌˈbleɪt
ablation,ˌʌˈbleɪʃən
ablaze,əˈbleɪz
able,ˈeɪbəl
able-bodied,ˈeɪbəlˈbɑdid
abled,ˈeɪbəld
abler,ˈeɪbəlɚ
ables,ˈeɪbəlz
ablest,ˈeɪbəlst
abloom,əˈblum
ablution,əˈbluʃən
ablutions,əˈbluʃənz
ably,ˈeɪbli
abnegation,ˌæbnɛˈɡeɪʃən
abner,ˈæbnɚ
abney,ˈæbni
abnormal,æbˈnɔɹməl
abnormalities,ˌæbnɔɹˈmælətiz
abnormality,ˌæbnɔɹˈmæləti
abnormally,æbˈnɔɹməli
abo,ˈɑboʊ
abo's,ˈɑboʊz
aboard,əˈbɔɹd
abode,əˈboʊd
abohalima,æbəhəˈlimə
abolish,əˈbɑlɪʃ
abolished,əˈbɑlɪʃt
abolishes,əˈbɑlɪʃɪz
abolishing,əˈbɑlɪʃɪŋ
abolition,ˌæbəˈlɪʃən
abolitionism,ˌæbəˈlɪʃəˌnɪzəm
abolitionist,ˌæbəˈlɪʃənəst
abolitionists,ˌæbəˈlɪʃənəsts
abominable,əˈbɑmənəbəl
abomination,əˌbɑməˈneɪʃən
abominations,əˌbɑməˈneɪʃənz
abood,əˈbud
aboodi,əˈbudi
abor,əˈbɔɹ
aboriginal,ˌæbɚˈɪdʒənəl
aborigine,ˌæbɚˈɪdʒəni
aborigines,ˌæbɚˈɪdʒəniz
aborn,əˈbɔɹn
abort,əˈbɔɹt
aborted,əˈbɔɹtɪd
abortifacient,əˌbɔɹtəˈfeɪʃənt
abortifacients,əˌbɔɹtəˈfeɪʃənts
aborting,əˈbɔɹtɪŋ
abortion,əˈbɔɹʃən
abortionist,əˈbɔɹʃənɪst
abortionists,əˈbɔɹʃənɪsts
abortions,əˈbɔɹʃənz
abortive,əˈbɔɹtɪv
aborts,əˈbɔɹts
abott,əˈbɑt
abou,əˈbu
aboud,ɑˈbud
abouhalima,ˌɑbuhɑˈlimə
abouhalima's,ˌɑbuhɑˈliməz
abound,əˈbaʊnd
abounded,əˈbaʊndɪd
abounding,əˈbaʊndɪŋ
abounds,əˈbaʊndz
about,əˈbaʊt
about's,əˈbaʊts
above,əˈbʌv
above's,əˈbʌvz
aboveboard,əˈbʌvˌbɔɹd
abplanalp,ˈæbplənælp
abra,ˈɑbɹə
abracadabra,ˌæbɹəkəˈdæbɹə
abrade,æbˈɹeɪd
abraded,æbˈɹeɪdɪd
abrades,æbˈɹeɪdz
abraham,ˈeɪbɹəˌhæm
abrahamian,ˌæbɹəˈheɪmiən
abrahams,ˈeɪbɹəˌhæmz
abrahamsen,æbɹəˈhæmsən
abrahamson,əbˈɹæhəmsən
abram,əbˈɹæm
abram's,ˈeɪbɹəmz
abramczyk,ˈɑbɹəmtʃɪk
abramo,ɑbˈɹɑmoʊ
abramovitz,əbˈɹɑməvɪts
abramowicz,əbˈɹɑməvɪtʃ
abramowitz,əbˈɹɑməwɪts
abrams,ˈeɪbɹəmz
abrams's,ˈeɪbɹəmzɪz
abramson,ˈeɪbɹəmsən
abrasion,əbˈɹeɪʒən
abrasions,əbˈɹeɪʒənz
abrasive,əbˈɹeɪsɪv
abrasives,əbˈɹeɪsɪvz
abraxa,əbˈɹæksə
abraxa's,əbˈɹæksəz
abraxas,əbˈɹæksəz
abreast,əbˈɹɛst
abrego,ɑbˈɹɛɡoʊ
abreu,əbˈɹu
abridge,əbˈɹɪdʒ
abridged,əbˈɹɪdʒd
abridgement,əbˈɹɪdʒmənt
abridges,əbˈɹɪdʒəz
abridging,əbˈɹɪdʒɪŋ
abril,əbˈɹɪl
abroad,əbˈɹɔd
abrogate,ˈæbɹəˌɡeɪt
abrogated,ˈæbɹəˌɡeɪtɪd
abrogating,ˈæbɹəˌɡeɪtɪŋ
abrogation,ˌæbɹəˈɡeɪʃən
abrol,əbˈɹoʊl
abron,əbˈɹɑn
abrupt,əbˈɹʌpt
abruptly,əbˈɹʌptli
abruptness,əbˈɹʌptnəs
abrutyn,ˈeɪbɹutɪn
abruzzese,ɑbɹutˈseɪzi
abruzzo,ɑbˈɹuzoʊ
abs,ˈeɪˈbiˈɛs
absalom,ˈæbsələm
absaraka,æbˈsɑɹəkə
abscam,ˈæbskæm
abscess,ˈæbˌsɛs
abscond,æbˈskɑnd
absconded,æbˈskɑndɪd
absconding,æbˈskɑndɪŋ
absconds,æbˈskɑndz
absecon,ˈæbsəkɔn
absence,ˈæbsəns
absences,ˈæbsənsɪz
absent,ˈæbsənt
absentee,ˌæbsənˈti
absenteeism,ˌæbsənˈtiɪzəm
absentees,ˌæbsənˈtiz
absentia,æbˈsɛnʃə
absher,ˈæbʃɚ
abshier,ˈæbʃiɚ
abshire,ˈæbˌʃaɪɹ
absinthe,ˈæbsɪnθ
abso,ˈæbsoʊ
absolom,ˈæbsələm
absolut,ˌæbsəˈlut
absolut's,ˌæbsəˈluts
absolute,ˈæbsəˌlut
absolutely,ˌæbsəˈlutli
absoluteness,ˈæbsəˌlutnəs
absolutes,ˈæbsəˌluts
absolution,ˌæbsəˈluʃən
absolutism,ˈæbsəˌluˌtɪzəm
absolutist,æbsəˈlutɪst
absolve,əbˈzɑlv
absolved,əbˈzɑlvd
absolves,əbˈzɑlvz
absolving,əbˈzɑlvɪŋ
absorb,əbˈzɔɹb
absorbed,əbˈzɔɹbd
absorbency,əbˈzɔɹbənsi
absorbent,əbˈzɔɹbənt
absorber,əbˈzɔɹbɚ
absorbers,əbˈzɔɹbɚz
absorbing,əbˈzɔɹbɪŋ
absorbs,əbˈzɔɹbz
absorption,əbˈzɔɹpʃən
abstain,əbˈsteɪn
abstained,əbˈsteɪnd
abstaining,əbˈsteɪnɪŋ
abstention,əbˈstɛntʃən
abstentions,əbˈstɛntʃənz
abstinence,ˈæbstənəns
abstinent,ˈæbstənənt
abston,ˈæbstən
abstract,æbstˈɹækt
abstracted,ˈæbstˌɹæktɪd
abstraction,æbstˈɹækʃən
abstractions,æbstˈɹækʃənz
abstracts,ˈæbstɹækts
abstruse,əbstˈɹus
absurd,əbˈsɝd
absurdist,əbˈsɝdɪst
absurdities,əbˈsɝdətiz
absurdity,əbˈsɝdəti
absurdly,əbˈsɝdli
abt,æbt
abts,æbts
abu,ˈæbu
abudrahm,əˈbʌdɹəm
abuellah,əbˈwɛlə
abuellah's,əbˈwɛləz
abuladze,ˌæbjuˈlædzi
abundance,əˈbʌndəns
abundant,əˈbʌndənt
abundantly,əˈbʌndəntli
aburto,əˈbʊɹˌtoʊ
aburto's,əˈbʊɹˌtoʊz
abuse,əˈbjus
abused,əˈbjuzd
abuser,əˈbjuzɚ
abusers,əˈbjuzɚz
abuses,əˈbjusɪz
abusing,əˈbjuzɪŋ
abusive,əˈbjusɪv
abut,əˈbʌt
abuts,əˈbʌts
abutted,əˈbʌtɪd
abutting,əˈbʌtɪŋ
abuzz,əˈbʌz
abysmal,əˈbɪzməl
abysmally,əˈbɪzməli
abyss,əˈbɪs
abyssinia,æbˈsɪˌniə
abyssinian,æbˈsɪˌniən
abzug,ˈæbˌzʌɡ
ac,ˈeɪˈsi
aca,ˈækə
acacia,əˈkeɪʃə
academe,ˈækəˌdim
academia,ˌækəˈdimiə
academic,ˌækəˈdɛmɪk
academically,ˌækəˈdɛmɪkli
academician,ˌækədəˈmɪʃən
academicians,ˌækədəˈmɪʃənz
academics,ˌækəˈdɛmɪks
academies,əˈkædəmiz
academy,əˈkædəmi
academy's,əˈkædəmiz
acadia,əˈkeɪdiə
acaena,əˈsinə
acampo,əˈkɑmpoʊ
acampora,əˈkæmpɚə
acampsia,əˈkæmpsjə
acantha,ɑˈkɑnðə
acapulco,ˌækəˈpʊlkoʊ
acary,ˈækɚi
acc,ˌaɪˌsiˈsi
accardi,ɑˈkɑɹdi
accardo,ɑˈkɑɹdoʊ
accede,ækˈsid
acceded,ækˈsidɪd
accedes,ækˈsidz
acceding,ækˈsidɪŋ
accel,əkˈsɛl
accelerant,ækˈsɛlɚənt
accelerants,ækˈsɛlɚənts
accelerate,ækˈsɛlɚˌeɪt
accelerated,ækˈsɛlɚˌeɪtɪd
accelerates,ækˈsɛlɚˌeɪts
accelerating,ækˈsɛlɚˌeɪtɪŋ
acceleration,ˌækˌsɛlɚˈeɪʃən
accelerator,ækˈsɛlɚˌeɪtɚ
accelerators,ækˈsɛlɚˌeɪtɚz
accelerometer,ækˌsɛlɚˈɑmətɚ
accelerometers,ækˌsɛlɚˈɑmətɚz
accent,əkˈsɛnt
accented,ˈæksɛntɪd
accenting,ˈæksɛntɪŋ
accents,ˈæksɛnts
accentuate,ækˈsɛntʃueɪt
accentuated,ækˈsɛntʃuˌeɪtɪd
accentuates,ækˈsɛntʃuˌeɪts
accentuating,ækˈsɛntʃuˌeɪtɪŋ
accenture,ækˈsɛntʃɚ
accept,ækˈsɛpt
acceptability,əkˌsɛptəˈbɪləti
acceptable,ækˈsɛptəbəl
acceptably,ækˈsɛptəbli
acceptance,ækˈsɛptəns
acceptances,ækˈsɛptənsɪz
accepted,ækˈsɛptɪd
accepting,ækˈsɛptɪŋ
accepts,ækˈsɛpts
access,ˈækˌsɛs
accessed,ˈækˌsɛst
accessibility,ˌæksɛsəˈbɪlɪti
accessible,ækˈsɛsəbəl
accessing,ˈækˌsɛsɪŋ
accession,əkˈsɛʃən
accessories,ækˈsɛsɚiz
accessorize,ækˈsɛsɚˌaɪz
accessorized,ækˈsɛsɚˌaɪzd
accessory,ækˈsɛsɚi
accetta,ɑˈtʃɛtə
accident,ˈæksədənt
accident's,ˈæksədənts
accidental,ˌæksəˈdɛntəl
accidentally,ˌæksəˈdɛntəli
accidently,ˈæksədəntli
accidents,ˈæksədənts
accion,ˈætʃiən
accival,ˈæsɪˌvɑl
acclaim,əˈkleɪm
acclaim's,əˈkleɪmz
acclaimed,əˈkleɪmd
acclaiming,əˈkleɪmɪŋ
acclaims,əˈkleɪmz
acclamation,ˌækləˈmeɪʃən
acclimate,ˈækləˌmeɪt
acclimated,ˈækləˌmeɪtɪd
acclimation,ˌækləˈmeɪʃən
acco,ˈækoʊ
accokeek,ˈækoʊkik
accola,ɑˈkoʊlə
accolade,ˈækəˌleɪd
accolades,ˈækəˌleɪdz
accomando,ɑkoʊˈmɑndoʊ
accommodate,əˈkɑməˌdeɪt
accommodated,əˈkɑməˌdeɪtɪd
accommodates,əˈkɑməˌdeɪts
accommodating,əˈkɑməˌdeɪtɪŋ
accommodation,əˌkɑməˈdeɪʃən
accommodations,əˌkɑməˈdeɪʃənz
accommodative,əˈkɑməˌdeɪtɪv
accompanied,əˈkʌmpənid
accompanies,əˈkʌmpəniz
accompaniment,əˈkʌmpnɪmənt
accompaniments,əˈkʌmpnɪmənts
accompanist,əˈkʌmpənəst
accompany,əˈkʌmpəni
accompanying,əˈkʌmpəniɪŋ
accompli,ˌɑˈkɑmpli
accomplice,əˈkɑmpləs
accomplices,əˈkɑmpləsəz
accomplish,əˈkɑmplɪʃ
accomplished,əˈkɑmplɪʃt
accomplishes,əˈkɑmplɪʃɪz
accomplishing,əˈkɑmplɪʃɪŋ
accomplishment,əˈkɑmplɪʃmənt
accomplishments,əˈkɑmplɪʃmənts
accor,ˈæˌkɔɹ
accor's,ˈækɚz
accord,əˈkɔɹd
accord's,əˈkɔɹdz
accordance,əˈkɔɹdəns
accorded,əˈkɔɹdɪd
according,əˈkɔɹdɪŋ
accordingly,əˈkɔɹdɪŋli
accordion,əˈkɔɹdiən
accordions,əˈkɔɹdiənz
accords,əˈkɔɹdz
accost,əˈkɔst
accosted,əˈkɑstɪd
accosting,əˈkɑstɪŋ
account,əˈkaʊnt
account's,əˈkaʊnts
accountability,əˈkaʊntəˌbɪlɪti
accountable,əˈkaʊntəbəl
accountancy,əˈkaʊntənsi
accountant,əˈkaʊntənt
accountant's,əˈkaʊntənts
accountants,əˈkaʊntənts
accountants',əˈkaʊntənts
accounted,əˈkaʊntɪd
accountemp,əˈkaʊnˌtɛmp
accountemps,əˈkaʊnˌtɛmps
accounting,əˈkaʊntɪŋ
accounts,əˈkaʊnts
accouterment,əˈkutɚmənt
accouterments,əˈkutɚmənts
accoutrement,əˈkutɚmənt
accoutrements,əˈkutɚmənts
accra,ˈɑkˌɹɑ
accredit,əkˌɹɛdət
accreditation,əkˌɹɛdəˈteɪʃən
accreditations,əkˌɹɛdəˈteɪʃənz
accredited,əkˈɹɛdɪtɪd
accrediting,əkˈɹɛdətɪŋ
accreted,əkˈɹitɪd
accretion,əkˈɹiʃən
accrual,əkˈɹuəl
accruals,əkˈɹuəlz
accrue,əkˈɹu
accrued,əkˈɹud
accrues,əkˈɹuz
accruing,əkˈɹuɪŋ
accu,ˈækju
accuhealth,ˈækjuˌhɛlθ
accumulate,əˈkjumjəˌleɪt
accumulated,əˈkjumjəˌleɪtɪd
accumulates,əˈkjumjəˌleɪts
accumulating,əˈkjumjəˌleɪtɪŋ
accumulation,əˌkjumjəˈleɪʃən
accumulations,əˌkjumjəˈleɪʃənz
accumulative,əˈkjumjəˌleɪtɪv
accumulatively,əˈkjumjəˌleɪtɪvli
accumulator,əˈkjumjəˌleɪtɚ
accumulators,əˈkjumjəˌleɪtɚz
accuracies,ˈækjɚəsiz
accuracy,ˈækjɚəsi
accurate,ˈækjɚət
accurately,ˈækjɚətli
accuray,ˈækjɚˌeɪ
accuray's,ˈækjɚˌeɪz
accuride,ˈækjɚˌaɪd
accursed,ˌæˈkɝst
accurso,ɑˈkʊɹsoʊ
accusation,ˌækjəˈzeɪʃən
accusations,ˌækjəˈzeɪʃənz
accusative,əˈkjuzətɪv
accusatory,əˈkjuzəˌtɔɹi
accuse,əˈkjuz
accused,əˈkjuzd
accuser,əˈkjuzɚ
accusers,əˈkjuzɚz
accuses,əˈkjuzɪz
accusing,əˈkjuzɪŋ
accusingly,əˈkjuzɪŋli
accustom,əˈkʌstəm
accustomed,əˈkʌstəmd
accutane,ˈækjuˌteɪn
ace,eɪs
acecomm,ˈeɪskɑm
aced,eɪst
acer,ˈeɪsɚ
acerbic,əˈsɛɹbɪk
acero,əˈsɛɹoʊ
acerra,əˈsɛɹə
aces,ˈeɪsɪz
acetaminophen,əˌsitəˈmɪnəfən
acetate,ˈæsəˌteɪt
acetic,əˈsɛtɪk
aceto,ɑˈsɛtoʊ
acetochlor,ɑˈsɛtoʊˌklɔɹ
acetone,ˈæsəˌtoʊn
acetosyringone,əˌsɛtoʊˈsɪɹɪŋɡɔn
acetylcholine,əˌsɛtəlˈkoʊlin
acetylene,əˈsɛtəˌlin
acevedo,æsəˈveɪdoʊ
aceves,ɑˈseɪvɛs
acey,ˈeɪsi
ach,ˈeɪˈsiˈeɪtʃ
achaean,əˈtʃiən
achatz,ˈækəts
ache,eɪk
achebe,ɑˈtʃeɪbi
ached,eɪkt
achee,əˈtʃi
achenbach,ˈækɪnbɑk
achenbaum,ˈækənˌbaʊm
achene,əˈkin
achenes,əˈkinz
aches,eɪks
acheson,ˈætʃəsən
acheson's,ˈætʃəsənz
achesons,ˈætʃəsənz
achey,ˈætʃi
achieva,əˈtʃivə
achievable,əˈtʃivəbəl
achieve,əˈtʃiv
achieved,əˈtʃivd
achievement,əˈtʃivmənt
achievements,əˈtʃivmənts
achiever,əˈtʃivɚ
achievers,əˈtʃivɚz
achieves,əˈtʃivz
achieving,əˈtʃivɪŋ
achill,ˈækɪl
achill's,ˈækɪlz
achille,əˈkɪli
achilles,əˈkɪliz
achilles',əˈkɪliz
aching,ˈeɪkɪŋ
achingly,ˈeɪkɪŋli
achmed,ˈɑhmɛd
achoa,əˈtʃoʊə
achoa's,əˈtʃoʊəz
achoo,ˌɑˈtʃu
achor,ˈeɪkɚ
achord,ˈækɔɹd
achorn,ˈækɚn
achtenberg,ˈæktɛnbɚɡ
achterberg,ˈæktɚbɚɡ
achy,ˈeɪki
acid,ˈæsəd
acidic,əˈsɪdɪk
acidification,əˌsɪdəfəˈkeɪʃən
acidified,əˈsɪdəˌfaɪd
acidifies,əˈsɪdəˌfaɪz
acidify,əˈsɪdəˌfaɪ
acidity,əˈsɪdəti
acidly,ˈæsədli
acidosis,ˌæsəˈdoʊsəs
acids,ˈæsədz
aciduria,ˌæsəˈdʊɹiə
acierno,ɑˈsɪɹnoʊ
ack,æk
acker,ˈækɚ
acker's,ˈækɚz
ackerley,ˈækɚli
ackerly,ˈækɚli
ackerman,ˈækɚmən
ackermann,ˈækɚmən
ackermanville,ˈækɚmənvɪl
ackerson,ˈækɚsən
ackert,ˈækɚt
ackhouse,ˈækˌhaʊs
ackland,ˈæklənd
ackles,ˈækəlz
ackley,ˈækli
acklin,ˈæklɪn
ackman,ˈækmən
acknowledge,ækˈnɑlɪdʒ
acknowledgeable,ækˈnɑlɪdʒəbəl
acknowledged,ækˈnɑlɪdʒd
acknowledgement,ækˈnɑlɪdʒmənt
acknowledgements,ækˈnɑlɪdʒmənts
acknowledges,ækˈnɑlɪdʒɪz
acknowledging,ækˈnɑlɪdʒɪŋ
acknowledgment,ækˈnɑlɪdʒmənt
acknowledgments,ækˈnɑlɪdʒmənts
ackroyd,ˈækˌɹɔɪd
ackroyd's,ˈækˌɹɔɪdz
acm,ˌeɪˌsiˈɛm
acmat,ˈækmæt
acmat's,ˈækmæts
acme,ˈækmi
acme's,ˈækmiz
acne,ˈækni
acocella,ɑkoʊˈtʃɛlə
acoff,ˈækɔf
acog,əˈkɔɡ
acolyte,ˈækəˌlaɪt
acolytes,ˈækəˌlaɪts
acomb,ˈeɪkəm
acord,əˈkɔɹd
acordia,əˈkɔɹdiə
acorn,ˈeɪkɔɹn
acorn's,ˈeɪkɔɹnz
acorns,ˈeɪkɔɹnz
acosta,əˈkɔstə
acott,ˈeɪkɔt
acoustic,əˈkustɪk
acoustical,əˈkustɪkəl
acoustically,əˈkustɪkli
acoustics,əˈkustɪks
acquaint,əˈkweɪnt
acquaintance,əˈkweɪntəns
acquaintances,əˈkweɪntənsɪz
acquaintanceship,əˈkweɪntənsʃɪp
acquainted,əˈkweɪntɪd
acquaviva,ɑkwɑˈvivə
acquiesce,ˌækwiˈɛs
acquiesced,ˌækwiˈɛst
acquiescence,ˌækwiˈɛsəns
acquiescent,ˌækwiˈɛsənt
acquiescing,ˌækwiˈɛsɪŋ
acquire,əˈkwaɪɚ
acquired,əˈkwaɪɚd
acquirer,əˈkwaɪɚɚ
acquirer's,əˈkwaɪɚɚz
acquirers,əˈkwaɪɚɚz
acquires,əˈkwaɪɚz
acquiring,əˈkwaɪɹɪŋ
acquisition,ˌækwəˈzɪʃən
acquisition's,ˌækwəˈzɪʃənz
acquisitions,ˌækwəˈzɪʃənz
acquisitive,əˈkwɪzətɪv
acquit,əˈkwɪt
acquitaine,ˈækwɪˌteɪn
acquits,əˈkwɪts
acquittal,əˈkwɪtəl
acquittals,əˈkwɪtəlz
acquitted,əˈkwɪtɪd
acquitting,əˈkwɪtɪŋ
acre,ˈeɪkɚ
acreage,ˈeɪkɚɪdʒ
acree,əkˈɹi
acres,ˈeɪkɚz
acrey,ˈækɹi
acri,ˈɑkɹi
acrid,ˈækɹɪd
acrimonious,ˌækɹəˈmoʊniəs
acrimony,ˈækɹɪˌmoʊni
acro,ˈækɹoʊ
acrobat,ˈækɹəˌbæt
acrobatic,ˌækɹəˈbætɪk
acrobatics,ˌækɹəˈbætɪks
acrobats,ˈækɹəˌbæts
acrolein,ˈækɹoʊˌlin
acronym,ˈækɹənɪm
acronyms,ˈækɹənɪmz
acropolis,əkˈɹɑpələs
across,əkˈɹɔs
acrylic,əkˈɹɪlɪk
acrylics,əkˈɹɪlɪks
act,ækt
act's,ækts
acta,ˈæktɑ
actava,ˌækˈtɑvə
actava's,ˌækˈtɑvəz
actavas,ˌækˈtɑvəz
acted,ˈæktɪd
actel,ˈæktɛl
actigall,ˈæktɪɡɔl
actin,ˈæktən
acting,ˈæktɪŋ
actinide,ˈæktɪˌnaɪd
actinidia,ˌæktɪˈnɪdiə
actinomycosis,ˌækˌtɪnoʊˌmaɪˈkoʊsɪs
action,ˈækʃən
action's,ˈækʃənz
actionable,ˈækʃənəbəl
actions,ˈækʃənz
activase,ˈæktɪˌveɪz
activate,ˈæktəˌveɪt
activated,ˈæktəˌveɪtɪd
activates,ˈæktəˌveɪts
