# FluencyOS CEFR wordlist — Phase 6 (difficulty heat, word lookup, leveling).
#
# LICENCE: this file is original to this project. Several widely-cited CEFR
# wordlists (EVP, Kelly, CEFR-J) are NOT redistributable, so rather than
# vendoring one, this is the fallback the plan calls for: a frequency-band
# approximation, hand-checked, covering the bands that actually matter to the
# reader. It is a reading aid, not an authoritative grading of English.
#
# Coverage is deliberately asymmetric. A1-B1 entries exist so that ordinary
# words are known-easy and never tint; B2-C2 entries carry the full payload
# (simpler synonym, definition, example) because those are the words the heat
# overlay marks and the lookup panel explains.
#
# An unknown word is treated as unrated, NOT as above-level: a missing hard
# word simply fails to tint, which is far less damaging than tinting every
# ordinary word on the page.
#
# columns: lemma,cefr,pos,simpler,definition,example,synonyms
lemma,cefr,pos,simpler,definition,example,synonyms
once,A2,adverb,,,,
order,A2,noun,,,,
own,A2,adjective,,,,
page,A2,noun,,,,
paper,A2,noun,,,,
part,A2,noun,,,,
pass,A2,verb,,,,
past,A2,noun,,,,
pay,A2,verb,,,,
perhaps,A2,adverb,,,,
person,A2,noun,,,,
picture,A2,noun,,,,
piece,A2,noun,,,,
plan,A2,noun,,,,
point,A2,noun,,,,
poor,A2,adjective,,,,
possible,A2,adjective,,,,
power,A2,noun,,,,
present,A2,adjective,,,,
press,A2,verb,,,,
probably,A2,adverb,,,,
problem,A2,noun,,,,
produce,A2,verb,,,,
provide,A2,verb,,,,
question,A2,noun,,,,
quick,A2,adjective,,,,
quite,A2,adverb,,,,
rather,A2,adverb,,,,
reach,A2,verb,,,,
real,A2,adjective,,,,
reason,A2,noun,,,,
receive,A2,verb,,,,
record,A2,noun,,,,
remember,A2,verb,,,,
report,A2,noun,,,,
rest,A2,noun,,,,
result,A2,noun,,,,
return,A2,verb,,,,
rise,A2,verb,,,,
road,A2,noun,,,,
round,A2,adjective,,,,
rule,A2,noun,,,,
safe,A2,adjective,,,,
seem,A2,verb,,,,
sell,A2,verb,,,,
send,A2,verb,,,,
sense,A2,noun,,,,
serve,A2,verb,,,,
set,A2,verb,,,,
several,A2,determiner,,,,
side,A2,noun,,,,
sign,A2,noun,,,,
similar,A2,adjective,,,,
simple,A2,adjective,,,,
since,A2,preposition,,,,
single,A2,adjective,,,,
sound,A2,noun,,,,
space,A2,noun,,,,
special,A2,adjective,,,,
stay,A2,verb,,,,
step,A2,noun,,,,
still,A2,adverb,,,,
story,A2,noun,,,,
strong,A2,adjective,,,,
student,A2,noun,,,,
study,A2,verb,,,,
subject,A2,noun,,,,
such,A2,determiner,,,,
suggest,A2,verb,,,,
sure,A2,adjective,,,,
system,A2,noun,,,,
table,A2,noun,,,,
teach,A2,verb,,,,
team,A2,noun,,,,
term,A2,noun,,,,
test,A2,noun,,,,
themselves,A2,pronoun,,,,
though,A2,conjunction,,,,
through,A2,preposition,,,,
together,A2,adverb,,,,
too,A2,adverb,,,,
top,A2,noun,,,,
toward,A2,preposition,,,,
town,A2,noun,,,,
true,A2,adjective,,,,
understand,A2,verb,,,,
until,A2,preposition,,,,
usually,A2,adverb,,,,
value,A2,noun,,,,
view,A2,noun,,,,
visit,A2,verb,,,,
voice,A2,noun,,,,
wait,A2,verb,,,,
wall,A2,noun,,,,
war,A2,noun,,,,
whether,A2,conjunction,,,,
while,A2,conjunction,,,,
whole,A2,adjective,,,,
wide,A2,adjective,,,,
wind,A2,noun,,,,
wish,A2,verb,,,,
within,A2,preposition,,,,
without,A2,preposition,,,,
wonder,A2,verb,,,,
achieve,B1,verb,,,,
active,B1,adjective,,,,
addition,B1,noun,,,,
adult,B1,noun,,,,
advantage,B1,noun,,,,
advice,B1,noun,,,,
affect,B1,verb,,,,
allow,B1,verb,,,,
amount,B1,noun,,,,
ancient,B1,adjective,,,,
apply,B1,verb,,,,
approach,B1,noun,,,,
argue,B1,verb,,,,
argument,B1,noun,,,,
arrange,B1,verb,,,,
attack,B1,verb,,,,
attempt,B1,noun,,,,
attention,B1,noun,,,,
attitude,B1,noun,,,,
available,B1,adjective,,,,
avoid,B1,verb,,,,
aware,B1,adjective,,,,
balance,B1,noun,,,,
basic,B1,adjective,,,,
behaviour,B1,noun,,,,
benefit,B1,noun,,,,
brief,B1,adjective,,,,
capital,B1,noun,,,,
career,B1,noun,,,,
central,B1,adjective,,,,
century,B1,noun,,,,
challenge,B1,noun,,,,
character,B1,noun,,,,
claim,B1,verb,,,,
collect,B1,verb,,,,
comfortable,B1,adjective,,,,
common,B1,adjective,,,,
communicate,B1,verb,,,,
community,B1,noun,,,,
compare,B1,verb,,,,
compete,B1,verb,,,,
concern,B1,noun,,,,
condition,B1,noun,,,,
confidence,B1,noun,,,,
connect,B1,verb,,,,
consider,B1,verb,,,,
contain,B1,verb,,,,
context,B1,noun,,,,
control,B1,verb,,,,
convince,B1,verb,,,,
culture,B1,noun,,,,
damage,B1,noun,,,,
decision,B1,noun,,,,
declare,B1,verb,,,,
degree,B1,noun,,,,
deliver,B1,verb,,,,
demand,B1,noun,,,,
depend,B1,verb,,,,
design,B1,noun,,,,
despite,B1,preposition,,,,
detail,B1,noun,,,,
determine,B1,verb,,,,
discover,B1,verb,,,,
discuss,B1,verb,,,,
distance,B1,noun,,,,
divide,B1,verb,,,,
effort,B1,noun,,,,
element,B1,noun,,,,
emerge,B1,verb,,,,
employ,B1,verb,,,,
encourage,B1,verb,,,,
energy,B1,noun,,,,
environment,B1,noun,,,,
equal,B1,adjective,,,,
escape,B1,verb,,,,
establish,B1,verb,,,,
estimate,B1,verb,,,,
event,B1,noun,,,,
evidence,B1,noun,,,,
exact,B1,adjective,,,,
exist,B1,verb,,,,
expert,B1,noun,,,,
express,B1,verb,,,,
extra,B1,adjective,,,,
familiar,B1,adjective,,,,
figure,B1,noun,,,,
final,B1,adjective,,,,
financial,B1,adjective,,,,
focus,B1,verb,,,,
former,B1,adjective,,,,
forward,B1,adverb,,,,
frequent,B1,adjective,,,,
further,B1,adverb,,,,
gather,B1,verb,,,,
generation,B1,noun,,,,
goal,B1,noun,,,,
guard,B1,verb,,,,
guide,B1,noun,,,,
handle,B1,verb,,,,
identify,B1,verb,,,,
image,B1,noun,,,,
imagine,B1,verb,,,,
impact,B1,noun,,,,
improve,B1,verb,,,,
individual,B1,adjective,,,,
industry,B1,noun,,,,
influence,B1,noun,,,,
inform,B1,verb,,,,
injury,B1,noun,,,,
intend,B1,verb,,,,
introduce,B1,verb,,,,
involve,B1,verb,,,,
issue,B1,noun,,,,
judge,B1,verb,,,,
knowledge,B1,noun,,,,
lack,B1,noun,,,,
limit,B1,noun,,,,
link,B1,noun,,,,
maintain,B1,verb,,,,
major,B1,adjective,,,,
manage,B1,verb,,,,
measure,B1,verb,,,,
mention,B1,verb,,,,
method,B1,noun,,,,
modern,B1,adjective,,,,
nature,B1,noun,,,,
obvious,B1,adjective,,,,
occur,B1,verb,,,,
offer,B1,verb,,,,
opinion,B1,noun,,,,
opportunity,B1,noun,,,,
oppose,B1,verb,,,,
option,B1,noun,,,,
original,B1,adjective,,,,
particular,B1,adjective,,,,
pattern,B1,noun,,,,
perform,B1,verb,,,,
period,B1,noun,,,,
permit,B1,verb,,,,
physical,B1,adjective,,,,
policy,B1,noun,,,,
popular,B1,adjective,,,,
population,B1,noun,,,,
position,B1,noun,,,,
practice,B1,noun,,,,
prefer,B1,verb,,,,
prepare,B1,verb,,,,
prevent,B1,verb,,,,
previous,B1,adjective,,,,
private,B1,adjective,,,,
process,B1,noun,,,,
professional,B1,adjective,,,,
project,B1,noun,,,,
prove,B1,verb,,,,
public,B1,adjective,,,,
purpose,B1,noun,,,,
quality,B1,noun,,,,
range,B1,noun,,,,
rate,B1,noun,,,,
recent,B1,adjective,,,,
recognise,B1,verb,,,,
reduce,B1,verb,,,,
refer,B1,verb,,,,
reflect,B1,verb,,,,
regard,B1,verb,,,,
region,B1,noun,,,,
regular,B1,adjective,,,,
relate,B1,verb,,,,
relationship,B1,noun,,,,
remain,B1,verb,,,,
remove,B1,verb,,,,
repeat,B1,verb,,,,
replace,B1,verb,,,,
represent,B1,verb,,,,
require,B1,verb,,,,
research,B1,noun,,,,
resource,B1,noun,,,,
respond,B1,verb,,,,
responsible,B1,adjective,,,,
reveal,B1,verb,,,,
risk,B1,noun,,,,
role,B1,noun,,,,
scene,B1,noun,,,,
science,B1,noun,,,,
search,B1,verb,,,,
season,B1,noun,,,,
section,B1,noun,,,,
security,B1,noun,,,,
separate,B1,adjective,,,,
series,B1,noun,,,,
serious,B1,adjective,,,,
share,B1,verb,,,,
shift,B1,noun,,,,
significant,B1,adjective,,,,
situation,B1,noun,,,,
skill,B1,noun,,,,
social,B1,adjective,,,,
society,B1,noun,,,,
solution,B1,noun,,,,
source,B1,noun,,,,
specific,B1,adjective,,,,
standard,B1,noun,,,,
state,B1,noun,,,,
stress,B1,noun,,,,
structure,B1,noun,,,,
succeed,B1,verb,,,,
sudden,B1,adjective,,,,
supply,B1,noun,,,,
support,B1,verb,,,,
suppose,B1,verb,,,,
survive,B1,verb,,,,
target,B1,noun,,,,
technology,B1,noun,,,,
theory,B1,noun,,,,
throughout,B1,preposition,,,,
tiny,B1,adjective,,,,
tool,B1,noun,,,,
topic,B1,noun,,,,
total,B1,adjective,,,,
track,B1,noun,,,,
trade,B1,noun,,,,
tradition,B1,noun,,,,
traffic,B1,noun,,,,
treat,B1,verb,,,,
trust,B1,verb,,,,
truth,B1,noun,,,,
typical,B1,adjective,,,,
unit,B1,noun,,,,
unless,B1,conjunction,,,,
various,B1,adjective,,,,
version,B1,noun,,,,
volume,B1,noun,,,,
weight,B1,noun,,,,
whereas,B1,conjunction,,,,
abandon,B2,verb,leave,to leave someone or something behind for good,They had to abandon the car in the snow.,desert|forsake
absorb,B2,verb,take in,to take in a liquid or information gradually,Dry soil absorbs water quickly.,soak up|take in
abstract,B2,adjective,general,based on general ideas rather than physical things,Freedom is an abstract idea.,theoretical|conceptual
accompany,B2,verb,go with,to go somewhere with someone,She accompanied her father to the station.,escort|go with
accumulate,B2,verb,build up,to gradually collect or increase,Dust accumulated on the shelves.,gather|build up
accurate,B2,adjective,correct,exactly right and free from mistakes,His account of the night was accurate.,precise|exact
acknowledge,B2,verb,admit,to accept or admit that something is true,He acknowledged that he had been wrong.,admit|concede
adapt,B2,verb,adjust,to change something so it suits a new situation,Animals adapt to the cold.,adjust|modify
adequate,B2,adjective,enough,good enough for a particular purpose,The lighting was barely adequate.,sufficient|acceptable
adjacent,B2,adjective,next to,lying next to something,They lived in adjacent houses.,neighbouring|next to
adopt,B2,verb,take up,to start using a method or attitude,The school adopted a new policy.,take up|embrace
advocate,B2,verb,support,to publicly support an idea or course of action,She advocates smaller classes.,support|champion
aesthetic,B2,adjective,artistic,concerned with beauty or the appreciation of beauty,The building has real aesthetic value.,artistic|visual
alter,B2,verb,change,to change something slightly,He altered the design.,change|modify
ambiguous,B2,adjective,unclear,having more than one possible meaning,Her reply was deliberately ambiguous.,unclear|vague
ample,B2,adjective,plenty of,more than enough,There was ample time to finish.,plentiful|abundant
anticipate,B2,verb,expect,to expect something to happen and prepare for it,We anticipate a busy autumn.,expect|foresee
apparent,B2,adjective,clear,easy to see or understand,It became apparent that he was lying.,clear|evident
appreciate,B2,verb,value,to recognise the value of something,She appreciates good design.,value|admire
appropriate,B2,adjective,suitable,right for a particular situation,That was not an appropriate remark.,suitable|fitting
approximate,B2,adjective,rough,close to but not exactly right,Give me an approximate figure.,rough|estimated
arbitrary,B2,adjective,random,based on chance or personal choice rather than reason,The deadline felt arbitrary.,random|capricious
articulate,B2,verb,express,to express an idea clearly in words,She articulated her doubts.,express|voice
assemble,B2,verb,gather,to bring people or parts together,The crowd assembled outside.,gather|collect
assert,B2,verb,state,to state something firmly,He asserted his innocence.,state|declare
assess,B2,verb,judge,to judge the quality or amount of something,The damage has yet to be assessed.,evaluate|judge
assume,B2,verb,suppose,to accept something as true without proof,I assumed you knew.,suppose|presume
attain,B2,verb,reach,to succeed in reaching something,She attained the rank of captain.,achieve|reach
attribute,B2,verb,credit,to say that something was caused by someone or something,He attributed the delay to the weather.,credit|ascribe
authentic,B2,adjective,genuine,real rather than copied or false,An authentic medieval door.,genuine|real
autonomy,B2,noun,independence,the freedom to govern or decide for yourself,The region was granted autonomy.,independence|self-rule
bias,B2,noun,unfairness,an unfair preference for or against something,The study corrected for bias.,prejudice|slant
capacity,B2,noun,ability,the ability to do something or hold something,The hall has a capacity of 400.,ability|volume
cease,B2,verb,stop,to stop happening,The rain ceased at dawn.,stop|halt
coherent,B2,adjective,clear,logically ordered and easy to follow,He gave a coherent account.,logical|consistent
coincide,B2,verb,happen together,to happen at the same time,Our visits coincided.,overlap|concur
commence,B2,verb,begin,to begin,Work commences on Monday.,begin|start
compel,B2,verb,force,to force someone to do something,Hunger compelled them to move on.,force|oblige
compensate,B2,verb,make up for,to make up for something lost or damaged,Nothing could compensate for the delay.,offset|make up for
competent,B2,adjective,able,having enough skill to do something well,A competent but uninspired teacher.,capable|able
comply,B2,verb,obey,to act according to a rule or request,All builders must comply with the code.,obey|conform
comprehensive,B2,adjective,complete,including everything necessary,A comprehensive account of the war.,thorough|complete
comprise,B2,verb,consist of,to consist of or be made up of,The estate comprises four farms.,consist of|contain
conceal,B2,verb,hide,to hide something,He concealed the letter.,hide|cover up
conceive,B2,verb,imagine,to imagine or form an idea,She could not conceive of leaving.,imagine|envisage
confer,B2,verb,discuss,to discuss something with others,The judges conferred briefly.,consult|discuss
confine,B2,verb,limit,to keep within limits,Please confine your remarks to the topic.,restrict|limit
conform,B2,verb,fit in,to behave according to accepted rules,He refused to conform.,comply|fit in
consent,B2,noun,agreement,permission or agreement,They married without her consent.,permission|agreement
consequence,B2,noun,result,a result of an action,He accepted the consequences.,result|outcome
considerable,B2,adjective,large,large in size or amount,A considerable sum of money.,substantial|significant
consistent,B2,adjective,steady,always behaving in the same way,Her work is consistent.,steady|uniform
constitute,B2,verb,make up,to be the parts that form something,Women constitute half the workforce.,make up|form
constrain,B2,verb,limit,to limit or restrict,Budgets constrain what we can do.,restrict|limit
contemporary,B2,adjective,modern,belonging to the present time,Contemporary architecture.,modern|current
contradict,B2,verb,disagree with,to say the opposite of what someone said,The evidence contradicts his story.,oppose|refute
controversial,B2,adjective,disputed,causing strong public disagreement,A controversial decision.,disputed|divisive
convey,B2,verb,express,to communicate a feeling or idea,Words cannot convey how I felt.,express|communicate
crucial,B2,adjective,very important,extremely important,A crucial moment in the trial.,vital|critical
cumulative,B2,adjective,building up,increasing steadily as things are added,The cumulative effect of small errors.,collective|growing
deduce,B2,verb,work out,to reach an answer by reasoning,From this we can deduce the cause.,infer|conclude
deem,B2,verb,consider,to consider something to be a certain way,The plan was deemed unsafe.,consider|judge
deficit,B2,noun,shortfall,the amount by which something is too small,A budget deficit.,shortfall|gap
denote,B2,verb,mean,to be a sign of something,A red light denotes danger.,indicate|signify
deprive,B2,verb,take from,to prevent someone from having something,The illness deprived him of sleep.,strip|deny
derive,B2,verb,come from,to get or come from a source,The word derives from Latin.,obtain|originate
deteriorate,B2,verb,get worse,to become worse,Her health deteriorated quickly.,worsen|decline
devise,B2,verb,invent,to plan or invent something,They devised a new system.,invent|design
diminish,B2,verb,lessen,to become or make smaller,The pain gradually diminished.,decrease|lessen
discrepancy,B2,noun,difference,a difference between things that should match,A discrepancy in the accounts.,inconsistency|mismatch
displace,B2,verb,move,to force something out of its place,The war displaced thousands.,dislodge|uproot
dispute,B2,noun,argument,a serious disagreement,A dispute over the boundary.,argument|quarrel
distinct,B2,adjective,clearly different,clearly different or separate,Two distinct species.,separate|different
distort,B2,verb,twist,to change something so it is no longer accurate,The report distorted the facts.,twist|misrepresent
diverse,B2,adjective,varied,very different from one another,A diverse group of people.,varied|assorted
dominate,B2,verb,control,to control or be most important,One firm dominates the market.,control|rule
elaborate,B2,adjective,detailed,with many carefully arranged parts,An elaborate ceremony.,detailed|intricate
eliminate,B2,verb,remove,to remove completely,We eliminated the obvious suspects.,remove|eradicate
embrace,B2,verb,accept,to accept an idea eagerly,She embraced the new method.,accept|adopt
emphasise,B2,verb,stress,to give special importance to something,He emphasised the risk.,stress|highlight
empirical,B2,adjective,observed,based on observation rather than theory,Empirical evidence.,observed|experimental
endure,B2,verb,bear,to suffer something patiently,They endured a hard winter.,bear|withstand
enhance,B2,verb,improve,to improve the quality of something,Lighting enhances the room.,improve|boost
entail,B2,verb,involve,to make something necessary,The job entails travel.,involve|require
equivalent,B2,adjective,equal,equal in value or meaning,A sum equivalent to a year's rent.,equal|comparable
erode,B2,verb,wear away,to wear away gradually,The cliff is eroding.,wear away|undermine
essential,B2,adjective,necessary,absolutely necessary,Water is essential to life.,vital|necessary
evident,B2,adjective,clear,easy to see or understand,Her relief was evident.,clear|obvious
evoke,B2,verb,bring to mind,to bring a memory or feeling to mind,The smell evoked his childhood.,recall|conjure
exceed,B2,verb,go beyond,to be greater than a limit,Costs exceeded the estimate.,surpass|outstrip
exclude,B2,verb,leave out,to deliberately leave out,They excluded him from the meeting.,omit|bar
exert,B2,verb,use,to use influence or effort,He exerted considerable pressure.,apply|wield
exhibit,B2,verb,show,to show a quality or feeling,The patient exhibited no symptoms.,display|show
explicit,B2,adjective,clear,stated clearly and directly,Explicit instructions.,clear|direct
exploit,B2,verb,use,"to use something fully, or unfairly",They exploited the loophole.,use|abuse
extract,B2,verb,take out,to remove or take out,They extracted the oil.,remove|draw out
facilitate,B2,verb,help,to make something easier,The grant facilitated the research.,ease|assist
fluctuate,B2,verb,vary,to change often and irregularly,Prices fluctuate daily.,vary|waver
fundamental,B2,adjective,basic,forming a necessary base,A fundamental difference.,basic|essential
generate,B2,verb,produce,to produce or create,The scheme generated income.,produce|create
hierarchy,B2,noun,ranking,a system in which people are ranked above one another,The company hierarchy.,ranking|pecking order
hypothesis,B2,noun,theory,an idea suggested as an explanation,The hypothesis was tested.,theory|proposition
illustrate,B2,verb,show,to make something clear with examples,The case illustrates the danger.,demonstrate|show
impose,B2,verb,force,to force a rule or burden on someone,They imposed a curfew.,inflict|force
inclined,B2,adjective,likely,likely to do or think something,I am inclined to agree.,disposed|likely
incorporate,B2,verb,include,to include something as part of a whole,The design incorporates a courtyard.,include|integrate
indicate,B2,verb,show,to show or point out,The figures indicate a rise.,show|suggest
inevitable,B2,adjective,unavoidable,certain to happen,A clash was inevitable.,unavoidable|certain
