# Vocabulary people actually reach for when describing a scene.
#
# Derived from the VATEX dataset (Wang et al., ICCV 2019) — 30,000 human
# descriptions of 3,000 video clips, counted and filtered to words our CEFR
# table can rate. VATEX is CC BY 4.0: https://eric-xw.github.io/vatex-website
#
# Used for Scene Description Challenge hints. Frequency is the count across
# those descriptions, so rank 1 is the word humans used most when asked to
# describe what they saw — not general English frequency.
word,cefr,frequency
blue,A1,267
street,A1,267
running,A1,267
jump,A1,264
song,A1,263
cut,A2,262
puts,A1,261
video,A1,261
laughing,A1,256
fire,A1,256
swimming,A1,253
guitar,A1,249
rides,B1,249
looks,A1,248
falls,A2,247
makes,A1,246
high,A2,245
toy,A1,243
open,A1,240
house,A1,240
adult,B1,238
use,A1,238
looking,A1,237
time,A1,237
wooden,A2,232
tool,B1,232
pan,A2,231
green,A1,228
male,A2,228
instrument,A2,228
rock,A2,227
hill,A1,226
track,B1,226
put,A1,224
gets,A1,222
explaining,A2,220
moving,A2,214
starts,A1,214
tries,A1,214
cutting,A2,212
giving,A1,208
boat,A1,207
horse,A1,206
bike,A1,204
driving,A1,201
park,A1,201
pieces,A2,200
along,A2,198
like,A1,197
soccer,A1,196
singing,A2,195
watches,A1,195
tie,A2,195
area,A2,193
meat,A1,193
body,A2,192
brush,A1,192
stand,A1,189
working,A1,189
set,A2,188
away,A1,188
balls,A1,188
female,A2,186
explains,A2,186
football,A1,185
practicing,B1,184
bag,A1,183
band,A1,181
tire,B1,180
object,B1,179
show,A1,179
begins,A1,178
hits,A2,178
get,A1,178
arms,A2,177
leg,A1,177
golf,A2,177
glass,A1,176
going,A1,176
bowl,A1,175
road,A2,173
seated,A1,173
speaking,A1,172
team,A2,172
laughs,A1,171
blowing,A1,170
places,A1,170
legs,A1,169
wheel,A1,169
audience,A2,168
electric,A2,168
against,A2,167
phone,A1,167
forth,B1,166
court,A2,166
box,A1,165
performs,B1,164
exercise,A1,164
clean,A1,163
baseball,A1,162
throw,A1,159
hitting,A2,158
dirt,B1,158
climbing,A2,157
line,A2,157
kicks,A1,157
himself,A2,156
fishing,A1,156
way,A1,154
fingers,B1,154
beer,A1,154
speaks,A1,153
various,B1,152
taking,A1,152
sand,B1,152
stick,B1,151
picks,A1,151
beach,A1,151
building,A2,150
guys,A1,150
sit,A1,150
dark,A2,149
outdoors,B1,149
foot,B1,149
slowly,A2,148
turns,A1,148
living,A1,147
bar,A1,147
cards,A1,147
flips,B2,145
skiing,A2,145
door,A1,144
hat,A1,142
older,A1,142
work,A1,142
lifts,B1,142
neck,A1,142
fast,A2,141
weights,B1,141
paint,A1,141
dressed,A2,138
grass,A1,138
couch,A1,137
pushing,A1,137
race,B1,137
near,A2,135
dances,A1,134
towards,A2,134
competition,A2,134
indoor,A2,134
cooking,A2,134
truck,A1,134
microphone,B2,133
laugh,A1,133
walk,A1,133
washing,A1,133
pulls,A2,132
blows,A1,132
bull,B1,132
shoe,A1,131
four,A1,130
goes,A1,130
gives,A1,130
end,A1,130
look,A1,129
outdoor,B1,129
routine,B1,129
plastic,A2,127
arm,A2,127
eye,A1,127
many,A1,127
balloon,A2,127
yard,A1,127
hockey,A2,127
screen,A2,126
apple,A1,125
event,B1,125
cup,A1,125
hit,A2,124
motion,B2,124
ride,A1,124
bunch,B1,123
type,A1,122
attempts,B1,122
weight,B1,122
big,A1,121
pole,B1,121
perform,B1,120
flip,B2,120
shot,A2,120
musical,A2,120
vehicle,B1,119
cloth,A1,119
yellow,A1,119
sticks,B1,119
kicking,A1,118
fish,A1,118
lifting,B1,118
lake,A2,118
move,A2,117
cuts,A2,117
pushes,A1,117
language,A2,116
middle,A1,116
plate,A2,116
river,A1,116
tennis,A1,116
ocean,B1,115
times,A1,114
heavy,A2,113
opens,A1,113
mother,A1,113
cake,A1,113
piano,A1,113
eyes,A1,111
place,A1,111
pulling,A2,111
swing,B2,111
snowy,A1,110
device,B1,110
swings,B2,110
tricks,A2,110
orange,A1,110
wine,A2,110
glasses,A1,109
sheet,B1,109
sewing,A2,109
players,A1,106
bicycle,A1,106
quickly,A2,106
trampoline,C1,106
attached,B2,105
between,A2,105
covered,A2,104
talk,A1,104
applying,B1,104
massage,B2,104
pipe,B1,104
spinning,B2,104
thread,B2,104
describes,A2,103
blow,A1,103
appears,A2,103
teenage,A2,103
properly,B1,103
gloves,A2,103
instruments,A2,103
clapping,B2,102
right,A1,102
drink,A1,102
player,A1,101
lot,A1,101
first,A1,101
parachute,B1,101
fight,A1,101
preparing,B1,100
pair,A1,100
man's,A1,100
forward,B1,100
works,A1,100
basket,A2,100
saw,A1,100
hold,A2,99
circle,A1,99
drums,A1,99
cleaning,A1,99
sidewalk,B1,99
pink,A1,99
clothes,A1,99
skating,A2,99
help,A1,98
equipment,B1,98
setting,A2,98
smiles,A1,98
instructions,B1,98
teams,A2,97
multiple,B2,97
take,A1,97
home,A1,97
painting,A1,97
woman's,A1,96
cream,A1,96
slide,A2,96
practice,B1,96
spoon,A2,96
hot,A1,96
ski,A2,96
studio,B1,96
drinking,A1,96
egg,A1,96
sink,A2,96
mountain,A1,95
hole,A1,95
adults,B1,95
book,A1,95
string,A2,95
brushing,A1,94
shoes,A1,94
dogs,A1,93
run,A1,92
day,A1,91
describing,A2,91
animal,A1,91
listening,A1,91
proper,A2,91
finger,B1,91
slow,A1,91
part,A2,90
bucket,A1,90
nose,A1,90
lights,A1,90
cheer,A2,90
attempting,B1,90
exercises,A1,90
steps,A2,90
punching,B2,90
backwards,B2,89
half,A2,89
cat,A1,89
fabric,B2,88
kick,A1,88
cliff,B1,87
full,A2,87
computer,A1,87
diving,B1,87
stone,A1,86
remove,B1,86
edge,A2,86
recording,A2,86
bathroom,A1,86
carpet,B1,86
iron,B1,86
folding,B1,86
sword,B1,86
smiling,A1,85
clothing,B2,85
applies,B1,85
fun,A1,85
bubble,B1,85
eggs,A1,85
ready,A1,84
kind,A2,84
hanging,B1,84
rolling,B1,84
mom,A1,84
roller,A2,84
church,A1,83
light,A1,83
drops,A1,83
pull,A2,83
pours,A2,83
course,A2,83
individual,B1,82
sings,A1,82
it's,A1,82
says,A1,82
liquid,B1,82
cap,A1,82
drawing,A2,82
window,A1,82
fold,B1,82
goal,B1,81
beat,B1,81
demonstration,B1,81
placing,A1,81
gas,A2,81
shaving,B1,81
pen,A1,80
concert,A1,80
slope,B1,80
surface,B1,80
repeatedly,B1,79
faces,A2,79
above,A2,79
night,A1,79
bench,A2,79
drinks,A1,79
family,A1,79
swinging,B2,79
net,A2,79
school,A1,79
herself,A2,78
belly,A2,78
spray,B2,78
lays,B1,78
waves,A2,78
practices,B1,77
loud,B1,77
skis,A2,77
used,A1,77
curling,B2,77
crying,A1,77
wind,A2,76
opening,A1,76
eat,A1,76
smoking,A1,76
friend,A1,76
pick,A1,76
card,A1,76
tools,B1,75
grabs,B1,75
seat,A1,75
eats,A1,75
lawn,B2,75
ring,A1,75
foreign,A1,74
old,A1,74
pouring,A2,74
comes,A1,74
drill,A2,74
mirror,A2,74
garbage,A1,74
needle,B1,74
store,A1,73
try,A1,73
picking,A1,73
tongue,B1,73
chest,A2,73
push,A1,73
pulled,A2,73
played,A1,73
bat,A1,73
art,A1,72
dress,A1,72
break,A2,72
teaching,A2,72
rolls,A2,72
gum,B2,72
scooter,B2,72
helmet,B1,71
technique,B1,71
eyebrows,B2,71
cheers,A2,71
indoors,B1,71
apply,B1,71
bottom,A1,71
pot,B1,71
brushes,A1,71
balloons,A2,70
friends,A1,70
wrapping,B1,70
boxing,B1,70
close,A1,70
pile,A2,70
flute,B1,70
climbs,A1,69
drum,A1,69
filming,A2,69
power,A2,69
fence,A2,69
container,B1,69
process,B1,69
feeding,A1,69
surfing,A2,69
hammer,B1,69
gear,B2,68
hard,A2,68
mask,B2,68
yoga,B1,68
money,A1,68
drives,A1,67
sounds,A2,67
scuba,B2,67
cheering,A2,67
trees,A1,67
left,A1,66
lift,B1,66
weather,A1,66
distance,B1,65
helping,A1,65
bow,B1,65
start,A1,65
match,A1,65
falling,A2,65
frying,A2,65
kite,A1,65
shaking,A1,64
fruit,A1,64
flat,A1,64
rocks,A2,63
lap,B2,63
removing,B1,63
else,A1,63
ramp,B2,63
picture,A2,63
chess,A2,63
news,A2,62
placed,A1,62
voice,A2,62
item,A1,62
restaurant,A1,62
empty,A2,62
cook,A1,62
special,A2,62
turning,A1,62
colored,A1,62
pencil,A1,62
ropes,A2,61
pit,B1,61
beside,A1,61
bowling,A1,61
slides,A2,61
nails,B1,61
stretching,C1,61
themselves,A2,60
purple,A1,60
counter,B1,60
spins,B2,60
birthday,A1,60
sign,A2,60
razor,B1,60
reading,A1,59
fall,A2,59
without,A2,59
bedroom,A1,59
shakes,A1,59
prepares,B1,59
flowers,A1,59
person's,A2,59
trick,A2,59
flying,A1,59
toward,A2,59
narrates,B1,59
swim,A1,59
cow,A1,59
carefully,A1,58
wax,B1,58
view,A2,58
television,A1,58
worker,A1,58
costume,B2,58
tube,A1,58
concrete,B2,58
polish,B2,58
puzzle,B1,58
demonstrate,B1,57
removes,B1,57
new,A1,57
petting,A1,57
arena,B2,57
see,A1,57
lands,A2,57
nail,B1,57
smoke,A1,57
wrap,B1,57
bottles,A1,57
deck,B2,57
noises,A1,57
log,B1,57
bubbles,B1,57
club,A1,57
sail,B2,57
pillow,B1,57
traffic,B1,57
folds,B1,57
skate,A2,57
skateboard,B2,57
cell,B1,57
climb,A1,56
class,A1,56
things,A1,56
target,B1,56
stretches,B1,56
material,A2,56
keyboard,B1,56
sheep,A1,56
pizza,A1,56
good,A1,55
suit,A2,55
sort,B1,55
stove,A2,55
tune,A2,55
toilet,A1,55
style,A2,54
color,A1,54
waving,A2,54
athlete,A2,54
mechanical,B1,54
items,A1,54
really,A2,54
motorcycle,B1,54
block,A1,54
racing,B1,54
writing,A1,54
oil,A2,54
train,A1,54
shop,A1,53
asks,A1,53
sports,B1,53
funny,A1,53
horses,A1,53
chef,A2,53
ladder,B1,53
fighting,B2,53
woods,A2,53
sandwich,A1,53
tall,A1,52
catch,A2,52
massaging,B2,52
order,A2,52
sets,A2,52
stadium,A2,52
wash,A1,52
shooting,B2,52
leaves,A1,52
create,A2,52
path,A2,52
slices,A2,52
remote,A2,52
tattoo,B2,52
elephant,A2,52
pond,B1,51
tells,A1,51
backyard,B2,51
speed,A2,51
scissors,A2,51
peel,B2,51
stomach,A2,51
snake,A1,51
clap,B2,50
pop,A1,50
country,A1,50
catches,A2,50
shorts,A1,50
brown,A1,50
dad,A1,50
pumpkin,B2,50
scene,B1,49
rubs,B2,49
towel,A1,49
stops,A1,49
batter,C1,49
shave,B1,49
waxed,B1,49
performance,A2,48
electronic,B1,48
workout,B1,48
tile,B1,48
carving,B2,48
cube,B2,48
violin,A2,48
pineapple,B1,48
sleeping,A1,48
wheelchair,A2,48
below,A2,47
product,A2,47
carrying,A2,47
party,A1,47
flipping,B2,47
washes,A1,47
sound,A2,47
lips,A2,47
helps,A1,47
blower,A1,47
marker,A2,47
skates,A2,47
volleyball,A1,47
construction,B1,46
sunglasses,A2,46
surrounded,B1,46
well,A1,46
bouncing,B1,46
round,A2,46
ends,A1,46
contact,A2,46
napkin,A2,46
hook,B2,46
couples,A2,46
meet,A2,46
fork,A2,46
potato,A1,46
lock,A2,46
microscope,B2,46
short,A1,45
blanket,A2,45
cross,A2,45
loudly,A2,45
chain,A2,45
tank,B1,45
sliding,A2,45
wave,A2,45
crawling,B2,45
learning,A2,45
garage,A2,45
goat,B2,45
somebody,A2,44
office,A1,44
shoulders,A1,44
brick,B1,44
desk,A1,44
underwater,A2,44
reaches,A2,44
training,A2,44
step,A2,44
colorful,A2,44
square,A2,44
flower,A1,44
sing,A1,44
done,A2,44
sauce,A2,44
fencing,A2,44
trumpet,B1,44
give,A1,43
until,A2,43
discussing,B1,43
oven,A2,43
strip,B1,43
father,A1,43
dish,A1,43
skills,B1,43
sky,A1,43
chewing,B2,43
artist,B1,43
crawls,B2,43
design,B1,43
circles,A1,43
carrot,A2,43
weaving,B2,43
camel,B1,43
soap,A2,42
stretch,B1,42
turn,A1,42
trash,B1,42
shape,A2,41
saying,A1,41
roll,A2,41
announcer,B1,41
pops,A1,41
points,A2,41
position,B1,41
still,A2,41
tape,A2,41
knee,A1,41
series,B1,41
mud,B1,41
touches,A1,41
tea,A1,41
great,A1,40
contest,A1,40
cleans,A1,40
competing,B1,40
prepare,B1,40
parts,A2,40
breaks,A2,40
chips,B2,40
number,A2,40
balance,B1,40
tight,A1,40
far,A1,40
stairs,A2,40
infant,B2,40
newspaper,A1,40
swims,A1,40
busy,A1,39
objects,B1,39
knees,A1,39
claps,B2,39
headphones,A2,39
handle,B1,39
circular,B1,39
deep,A2,39
plants,A2,39
ties,A2,39
base,A2,39
bath,A1,39
filled,A2,39
shaped,A2,39
shopping,A1,39
organ,B1,39
control,B1,39
shoulder,A1,39
poles,B1,39
cars,A1,39
axe,B2,39
figure,B1,39
dishes,A1,39
marching,A1,39
ironing,B1,39
leather,A2,39
discusses,B1,38
enjoying,A1,38
raises,A2,38
shots,A2,38
flame,B2,38
persons,A2,38
son,A1,38
balancing,B1,38
build,A2,38
parents,A1,38
sunny,A1,38
bricks,B1,38
pictures,A2,38
colors,A1,38
ear,A1,38
notes,A1,38
toes,A1,38
button,A1,38
feed,A1,38
coffee,A1,38
platform,B1,37
structure,B1,37
instructor,B1,37
clear,A2,37
proceeds,B1,37
coat,A1,37
forest,A1,37
fly,A1,37
keeps,A2,37
parking,B1,37
attempt,B1,37
tub,B2,37
factory,A1,37
students,A2,37
toys,A1,37
counting,A2,37
jet,A1,37
hug,A2,37
coin,A2,37
lines,A2,36
center,A2,36
gathered,B1,36
arrow,B1,36
past,A2,36
clip,B1,36
teen,B1,36
cookies,A1,36
grill,B1,36
films,A2,36
wet,A2,36
public,B1,36
paints,A1,36
tissue,B1,36
peeling,B2,36
bounce,B1,36
alone,A2,36
sailing,A2,36
buttons,A1,36
vegetables,A1,36
sausage,A2,36
cracking,B2,36
dribbling,C2,36
wool,A2,36
refrigerator,A2,36
spectators,B1,35
followed,A2,35
gun,A2,35
begin,A1,35
noise,A1,35
station,A1,35
blocks,A1,35
dryer,A1,35
ingredients,B1,35
dancers,A2,35
words,A1,35
present,A2,35
records,A2,34
rubbing,B2,34
filmed,A2,34
yelling,B1,34
elderly,A2,34
city,A1,34
seems,A2,34
press,A2,34
roasting,A2,34
skier,A2,34
exercising,A1,34
encourages,B1,34
tied,A2,34
form,A2,34
doll,A1,34
bread,A1,34
second,A1,34
ladies,A1,34
spaghetti,A2,34
suitcase,A2,34
pants,A1,33
creating,A2,33
crowded,A2,33
bends,A2,33
conversation,A1,33
come,A1,33
telling,A1,33
image,B1,33
successfully,A2,33
sausages,A2,33
tosses,B1,33
beautiful,A1,33
thin,A1,33
garden,A1,33
candles,B1,33
gold,A1,33
playground,A2,33
branches,A2,33
beans,A1,33
salad,A1,33
cardboard,B2,33
pancake,B2,33
gift,A1,33
cello,B2,33
massages,B2,33
safety,B1,32
harness,B1,32
nearby,B1,32
certain,A2,32
appear,A2,32
shoots,A2,32
yells,B1,32
nice,A1,32
frame,A2,32
whilst,C1,32
individuals,B1,32
pans,A2,32
lined,A2,32
leaf,A1,32
misses,A1,32
spin,B2,32
sea,A1,32
dock,B2,32
milk,A1,32
mail,A1,32
laundry,B2,32
pig,A1,32
diver,B1,32
coming,A1,31
chin,A2,31
he's,A1,31
skin,B1,31
hall,A1,31
facing,A2,31
five,A1,31
beard,B1,31
lies,A2,31
bending,A2,31
steering,B2,31
painted,A1,31
tap,A2,31
tapping,A2,31
counts,A2,31
tiles,B1,31
letters,A2,31
lay,B1,31
ballet,B2,31
frozen,B1,31
polo,B2,31
marbles,B1,31
costumes,B2,30
pretends,A2,30
asleep,A2,30
workers,A1,30
substance,B2,30
instructing,B2,30
digging,A1,30
younger,A1,30
bridge,A1,30
babies,A1,30
soft,A2,30
pointing,A2,30
steel,B1,30
adds,A2,30
knot,B2,30
coach,A1,30
movements,B1,30
kneeling,B2,30
leans,B1,30
bend,A2,30
text,A2,30
sucking,B2,30
plant,A2,30
pin,B1,30
arts,A1,30
sport,A1,30
slice,A2,30
boats,A1,30
carve,B2,30
feeds,A1,30
swimmers,B1,30
waist,B2,29
mans,A1,29
huge,B1,29
zoo,A1,29
professional,B1,29
whole,A2,29
spread,A2,29
screaming,A2,29
picked,A1,29
apart,A2,29
finish,A1,29
stop,A1,29
dive,B1,29
tray,B2,29
student,A2,29
pad,B2,29
trim,B1,29
cooked,A1,29
cooks,A1,29
mixing,A2,29
bee,A1,29
roof,A2,29
outfit,B2,29
salon,B2,29
cleaner,A2,29
pass,A2,29
surf,A1,29
pushed,A1,29
knocks,A2,29
tips,A2,29
fake,B1,29
coloring,A1,29
bite,A2,29
kissing,A1,29
cricket,A2,29
tightrope,B2,29
recorder,A2,29
bright,A1,28
live,A1,28
sides,A2,28
pottery,B1,28
muddy,B2,28
shoot,A2,28
leaning,B1,28
spraying,B2,28
chicken,A1,28
bird,A1,28
landing,A2,28
bent,B1,28
happy,A1,28
waiting,A2,28
steep,B1,28
pressure,A2,28
lane,A2,28
uniform,B2,28
snowboard,B1,28
castle,A2,28
cries,A1,28
shaves,B1,28
clips,B1,28
crossing,B1,28
basketballs,A1,28
folded,B1,28
waxing,B1,28
trail,B1,28
racket,A2,28
facial,C1,27
pretending,A2,27
closed,A1,27
catching,A2,27
wooded,C1,27
pressing,A2,27
vase,A1,27
baby's,A1,27
turned,A1,27
dinner,A1,27
animals,A1,27
bare,B1,27
wire,B1,27
comments,B1,27
narrating,B1,27
stuck,B1,27
shapes,A2,27
project,B1,27
stack,B2,27
filling,A2,27
bounces,B1,27
fancy,A2,27
bin,B1,27
straight,A1,27
strings,A2,27
t-shirt,A1,27
someone's,A1,27
disc,B1,27
driver,A1,27
poured,A2,27
pet,A1,27
socks,A2,27
cold,A1,27
easter,A2,27
belt,A2,27
tag,B2,27
protective,B1,26
gestures,B1,26
laptop,B2,26
lets,A1,26
amount,B1,26
males,A2,26
compete,B1,26
separate,B1,26
blonde,A2,26
wheels,A1,26
changing,A2,26
discuss,B1,26
thick,A1,26
techniques,B1,26
upper,B1,26
lid,B2,26
guides,B1,26
jacket,A1,26
candle,B1,26
silver,A2,26
recorded,A2,26
suspended,B2,26
burning,B1,26
draws,A1,26
wrapped,B1,26
starting,A1,26
scores,B1,26
change,A2,26
sanding,B1,26
hugs,A2,26
cracks,B2,26
peeler,B2,26
whistle,B1,26
licks,B2,26
jewelry,A1,26
batting,A1,26
snowball,B2,26
row,A1,25
athletic,B1,25
fixing,A2,25
child's,A1,25
juice,A1,25
chops,B2,25
pattern,B1,25
lip,A2,25
drills,A2,25
floating,A2,25
pencils,A1,25
bags,A1,25
knitting,B1,25
slaps,B2,25
keys,A1,25
underneath,B1,24
heavily,A2,24
touch,A1,24
heads,A1,24
presses,A2,24
continues,A2,24
smooth,A2,24
almost,A2,24
drive,A1,24
point,A2,24
wraps,B1,24
applied,B1,24
trimming,B1,24
human,A2,24
types,A1,24
gliding,B1,24
act,A2,24
bees,A1,24
boards,A1,24
snowboarding,A2,24
engine,B1,24
operating,A2,24
icy,B2,24
soda,A2,24
complete,A2,24
teenager,A2,24
score,B1,24
pens,A1,24
backs,A1,24
draw,A1,24
poses,B2,24
sculpture,B1,24
writes,A1,24
write,A1,24
sails,B2,24
trunk,B2,24
sponge,B1,24
mobile,A1,24
uniforms,B2,24
package,B1,24
hats,A1,24
karaoke,B2,24
apples,A1,24
peels,B2,24
whistling,B1,24
eyebrow,B2,24
cage,B1,24
hugging,A2,24
guns,A2,24
hover,B2,24
pump,B1,24
adjusts,A2,23
touching,A1,23
pairs,A1,23
system,A2,23
dirty,A1,23
space,A2,23
corner,A1,23
phones,A1,23
site,A1,23
toothbrush,A2,23
voices,A2,23
craft,B1,23
viewers,B2,23
baking,A2,23
kiss,A1,23
rubber,B1,23
free,A2,23
called,A1,23
checking,A1,23
wipes,B2,23
shore,A2,23
pages,A2,23
fridge,A2,23
wrench,C1,23
word,A1,23
stream,B1,23
closes,A1,23
copy,A1,23
ways,A1,23
swords,B1,23
stroke,B2,23
presents,A2,23
cigarette,A2,23
snowballs,B2,23
robot,B1,23
grapes,A1,23
loom,C1,23
teens,B1,22
adjusting,A2,22
case,A2,22
speak,A1,22
math,A1,22
palm,B1,22
displayed,A2,22
installing,B1,22
fix,A2,22
map,A1,22
strips,B1,22
barn,B2,22
hamburger,A1,22
bartender,B2,22
pour,A2,22
six,A1,22
comb,A2,22
unison,C1,22
bank,A1,22
tip,A2,22
sucks,B2,22
action,A1,22
furniture,A2,22
handed,A1,22
parent,A1,22
directions,A2,22
cans,A1,22
chop,B2,22
bush,A2,22
windows,A1,22
throat,B2,22
ceiling,B2,22
shift,B1,22
boot,B1,22
girl's,A1,22
logs,B1,22
threading,B2,22
hop,B1,22
barber,A2,22
milking,A1,22
smokes,A1,22
acting,A2,21
strikes,A2,21
happening,A1,21
shallow,B1,21
display,A2,21
aged,A2,21
including,A2,21
dig,A1,21
stones,A1,21
teenagers,A2,21
shirts,A1,21
sprays,B2,21
service,B1,21
classroom,A1,21
suddenly,B1,21
bandage,B1,21
burger,A1,21
